Date,Portfolio_Value
2024-01-22,1053.6125700968096
2024-01-23,1057.9845865601294
2024-01-24,1063.8556239879283
2024-01-25,1065.1546321120968
2024-01-26,1058.8090634525622
2024-01-29,1069.6517718153807
2024-01-30,1062.5314990439513
2024-01-31,1041.7206392306716
2024-02-01,1053.9874021477758
2024-02-02,1071.264396693523
2024-02-05,1071.264396693523
2024-02-06,1070.7287644951762
2024-02-07,1081.746963107482
2024-02-08,1083.7501879592962
2024-02-09,1094.4176297528143
2024-02-12,1090.1355634093134
2024-02-13,1073.1327882931294
2024-02-14,1084.826940564118
2024-02-15,1088.0571983785844
2024-02-16,1078.1910465257918
2024-02-20,1070.0527338486052
2024-02-21,1065.770590517216
2024-02-22,1096.9717799328212
2024-02-23,1093.1947283066902
2024-02-26,1093.1947283066902
2024-02-27,1092.648130942537
2024-02-28,1086.2869433510546
2024-02-29,1085.7437998793791
2024-03-01,1102.0916871752204
2024-03-04,1098.1592825174762
2024-03-05,1078.4476821571166
2024-03-06,1085.2243051655244
2024-03-07,1101.6961351404616
2024-03-08,1085.7932248741106
2024-03-11,1081.76189418845
2024-03-12,1096.7203137920953
2024-03-13,1096.7203137920953
2024-03-14,1096.1719536351993
2024-03-15,1083.141922184916
2024-03-18,1093.472319295731
2024-03-19,1095.6486436739804
2024-03-20,1095.1008193521434
2024-03-21,1100.2830541912278
2024-03-22,1101.5415807016043
2024-03-25,1097.5438458587098
2024-03-26,1093.9903458701401
2024-03-27,1097.7165996482136
2024-03-28,1095.6930314656354
2024-04-01,1097.4637750834283
2024-04-02,1096.9150431958867
2024-04-03,1099.3769499104487
2024-04-04,1082.5666715447069
2024-04-05,1095.3236301686068
2024-04-08,1095.6469062208787
2024-04-09,1099.7002259627207
2024-04-10,1090.1015079212902
2024-04-11,1107.5085566282125
2024-04-12,1089.852751809268
2024-04-15,1071.9236817586088
2024-04-16,1072.023168932938
2024-04-17,1058.4134627896378
2024-04-18,1057.8842560582432
2024-04-19,1035.9973447681894
2024-04-22,1046.4160779285016
2024-04-23,1062.0317116742676
2024-04-24,1065.629512816172
2024-04-25,1060.4826296371562
2024-04-26,1076.847757341352
2024-04-29,1081.219984431092
2024-04-30,1060.8323679131524
2024-05-01,1053.1619071234393
2024-05-02,1066.6038549621312
2024-05-03,1088.0409164494995
2024-05-06,1099.958637526672
2024-05-07,1100.1336217353903
2024-05-08,1099.483932448395
2024-05-09,1101.8825432568117
2024-05-10,1104.4809168357249
2024-05-13,1107.0292730082003
2024-05-14,1114.15000260998
2024-05-15,1131.5645752836049
2024-05-16,1129.2659992880638
2024-05-17,1128.7162681001305
2024-05-20,1136.58649166034
2024-05-21,1138.8100415462247
2024-05-22,1138.5852700725093
2024-05-23,1133.4634723105257
2024-05-24,1144.1819263403966
2024-05-28,1148.5042127375123
2024-05-29,1140.409217703587
2024-05-30,1128.1915456154159
2024-05-31,1126.092732390371
2024-06-03,1132.13916174713
2024-06-04,1135.2372491075391
2024-06-05,1158.1235112467705
2024-06-06,1157.7236788505231
2024-06-07,1156.6993192981263
2024-06-10,1161.3714206850518
2024-06-11,1169.3415256305098
2024-06-12,1184.65728507909
2024-06-13,1191.0784614150639
2024-06-14,1197.2497808602898
2024-06-17,1211.915851021875
2024-06-18,1212.2905980010898
2024-06-20,1202.9463185134255
2024-06-21,1199.7231876369224
2024-06-24,1186.0648301301926
2024-06-25,1199.628139221928
2024-06-26,1202.1055351168654
2024-06-27,1205.2086088751553
2024-06-28,1198.9524439521376
2024-07-01,1205.9844156716347
2024-07-02,1218.646797736983
2024-07-03,1228.8068519179885
2024-07-05,1241.6193629164636
2024-07-08,1244.5722310278134
2024-07-09,1245.6482956905459
2024-07-10,1258.636174466807
2024-07-11,1231.0340073531102
2024-07-12,1238.2661254121715
2024-07-15,1241.5943542132447
2024-07-16,1242.0698264296573
2024-07-17,1205.6089782680976
2024-07-18,1199.9033883849625
2024-07-19,1189.267938701358
2024-07-22,1206.985377510897
2024-07-23,1202.731212980218
2024-07-24,1159.5888985132933
2024-07-25,1146.8012427904102
2024-07-26,1158.5628512569986
2024-07-29,1160.8901182188092
2024-07-30,1144.9494480450119
2024-07-31,1178.8327120711315
2024-08-01,1150.2796772384236
2024-08-02,1122.9778447047938
2024-08-05,1089.4950267854301
2024-08-06,1099.9051679986242
2024-08-07,1087.9934305989093
2024-08-08,1121.2762556063358
2024-08-09,1127.1319744225975
2024-08-12,1129.559352911097
2024-08-13,1157.5868214071413
2024-08-14,1157.962335524492
2024-08-15,1187.2159976163953
2024-08-16,1188.742449078508
2024-08-19,1204.3577759690195
2024-08-20,1201.8303626676445
2024-08-21,1207.4357643102771
